id,district,lat,long
846272,5,40.74031,-111.8698416
842349,2,40.7608214,-111.9271982
846518,5,40.7397588,-111.8918147
856717,4,40.7556346,-111.8785275
853126,7,40.7248722,-111.8741622
860636,2,40.7490259,-111.922058
886484,4,40.7651823,-111.8817625
893352,4,40.7583057,-111.885426
887153,4,40.7584373,-111.9080133
887091,5,40.7470619,-111.8942154
887612,4,40.7683058,-111.890674
889687,2,40.7493828,-111.9281324
901518,7,40.7256733,-111.8636701
902341,4,40.7545369,-111.8838018
901480,6,40.7513104,-111.8396212
901427,7,40.723996,-111.8560356
858225,3,40.7733228,-111.8817723
912205,5,40.7369805,-111.8918919
915320,4,40.7572913,-111.8808683
922089,4,40.7545412,-111.8837657
922419,4,40.7545412,-111.8837657
896882,4,40.7674313,-111.8849525
925830,2,40.7560754,-111.9321867
926435,4,40.7597024,-111.8746193
928075,4,40.7612686,-111.8884659
937848,4,40.7500568,-111.9035993
937846,4,40.7500568,-111.9035993
941036,5,40.745164,-111.8940312
943647,5,40.7416341,-111.8882418
945822,4,40.767139,-111.8830341
949741,5,40.7374004,-111.899384
954643,4,40.7545412,-111.8837657
956467,6,40.7492593,-111.835376
941337,7,40.7307162,-111.8613913
957592,4,40.7502256,-111.8963518
960568,4,40.755799,-111.9027018
973426,5,40.7374539,-111.8919485
975745,4,40.7600381,-111.8838807
970601,5,40.7476982,-111.8785352
969043,5,40.7369716,-111.8995458
956538,5,40.742017,-111.8722828
998681,1,40.7779719,-111.935179
1001714,2,40.7706019,-111.9135668
1013846,5,40.7370537,-111.8909871
1031324,7,40.7188169,-111.8712102
1031440,7,40.7199326,-111.8663518
1032329,5,40.7490929,-111.9013847
1035814,2,40.7642885,-111.9260126
1036740,7,40.7198753,-111.8661268
1035835,5,40.7393802,-111.8905897
1039813,2,40.7313464,-111.924432
1042284,7,40.7199522,-111.8575051
1043790,4,40.7528875,-111.87955409999999
1045430,7,40.7209561,-111.8698211
1048441,3,40.7808742,-111.8845497
1048432,3,40.7808742,-111.8845497
1055895,5,40.7255492,-111.8776492
1056871,4,40.7540287,-111.8790345
1056772,2,40.7703101,-111.9140988
1060443,4,40.7542882,-111.8869132
1064926,5,40.7369181,-111.890917
1065552,3,40.7737584,-111.8967807
1069621,4,40.7504902,-111.9032349
1070205,2,40.77152,-111.9151593
1070361,4,40.7545142,-111.882938
1071581,5,40.7419359,-111.889273
