map_code,tract,population,sqMiles,density
C1,100200,1288,9.280862305153537,138.78020787839844
C2,100100,3896,1.5199738377166225,2563.202012643032
C3,100700,2645,0.4402974067833519,6007.303152937875
C4,101000,2871,0.5354480406859028,5361.864797044139
C5,100800,2635,0.27960399816524245,9424.042636338656
C6,101102,3313,0.21597242921588825,15339.920989119826
C7,101101,1909,0.18700241082198063,10208.424541741857
C8,101200,3765,0.6717880546164693,5604.446185262221
C9,102500,5017,0.7138036932989651,7028.5430673706405
C10,114000,3083,1.2182600846027085,2530.6583043844935
C11,102100,2600,0.18024523665746714,14424.791734945902
C12,101900,3401,0.27007306597559527,12592.888475251826
C13,101700,3496,0.27071360948390494,12914.016427415158
C14,101500,3115,0.31816093356417097,9790.642632030513
C15,102300,2884,0.31558370154610754,9138.62150000367
C16,102000,2953,0.33754249054435775,8748.528208219566
C17,101800,3602,0.33863709021045657,10636.755701395334
C18,101600,3511,0.38356355319020785,9153.633005007927
C19,102900,5788,1.4570233530039522,3972.4826565523827
C20,103000,2998,0.5069621944194336,5913.655955022978
C21,103500,3986,0.5072201106723274,7858.521214224927
C22,103100,4051,0.5040768528657276,8036.472964330058
C23,103400,3956,0.5052405648211498,7829.933452394872
C24,103200,4420,0.5009084984177533,8823.96688010224
C25,103300,4445,0.5034942246836664,8828.303845575763
E1,110103,18,98.71627204450368,0.18234075930141655
E2,114800,3488,9.444858045674343,369.30147421299483
E3,101400,6144,4.412362142218419,1392.4514357543098
E4,103600,2603,0.3986026190082734,6530.313339325982
E5,104100,2897,0.39964741149379845,7248.88968796675
E6,104200,6504,2.1789826825452474,2984.879160399175
E7,103700,2521,0.34257494629318747,7358.9736414712625
E8,104000,3191,0.5389210297499448,5921.090148366634
E9,103800,2384,0.32520652605340256,7330.726197076748
E10,103900,3679,0.5040726057418027,7298.551752452238
E11,104300,2732,0.4202556150839309,6500.805466821381
E12,111400,67,0.8319938161875653,80.52944468627574
E13,104900,3548,0.5030208634171278,7053.385372323686
E14,114100,4125,0.930421299249263,4433.475462490352
E15,104700,4629,0.829662917357146,5579.374349700323
E16,104400,1975,0.7428188856473467,2658.7907741182976
E17,104800,4875,0.7909534715990962,6163.447250751748
E18,110300,210,0.900167105021336,233.290017851766
E19,110200,1,1.251171047896747,0.799251230821739
E20,111802,970,0.4620708667376065,2099.2450938284933
W1,113906,0,125.96918248269876,0
W2,980000,0,15.470746968711824,0
W3,114700,4503,5.007000804636933,899.3407781819842
W4,100307,5059,0.5755756397326938,8789.461628969353
W5,100308,4086,0.525730621145735,7772.041109371375
W6,100500,6174,0.7318331204623342,8436.349527470946
W7,100306,6982,0.6948387405655934,10048.37466937538
W8,100600,6381,1.136364338367591,5615.276531087228
W9,102702,3751,0.6493257883820311,5776.761168452311
W10,102600,4678,0.9430340989996865,4960.584145326387
W11,102701,4945,0.5407669842485757,9144.419212040724
W12,102801,5917,1.0723196400909965,5517.9442572719145
W13,102802,4900,2.030634118768118,2413.0393332367426
W14,114500,112,16.55590025899734,6.764959817822855
